Día,Fecha,Hora,Local,Marcador,Visitante,Resultado,Sedes,Árbitro,Goles Local,Goles Visitante,Resultado Codificado
Vie,2025-02-07,15:00:00,Sport Huancayo,2–1,Alianza Atlético,Ganó Local,Estadio Huancayo,Augusto Menéndez,0.3333333333333333,0.25,1
Sáb,2025-02-08,13:00:00,Melgar,3–0,Utc,Ganó Local,Estadio de la Universidad Nacional San A...,Julio Quiróz,0.5,0.0,1
Sáb,2025-02-08,15:15:00,Atlético Grau,1–0,Ayacucho,Ganó Local,Estadio Campeones del 36,Boris Santos,0.1666666666666667,0.0,1
Dom,2025-02-09,13:00:00,Alianza Univ,2–2,Sporting Cristal,Empate,Estadio Heraclio Tapia León,Jordy Espinoza,0.3333333333333333,0.5,0
Dom,2025-02-09,15:00:00,Sport Boys,1–0,Juan Pablo Ii,Ganó Local,Estadio Miguel Grau del Callao,Roberto Pérez,0.1666666666666667,0.0,1
Dom,2025-02-09,15:30:00,Comerciantes Unidos,1–1,Universitario,Empate,Estadio Municipal Germán Contreras Jara,Micke Palomino,0.1666666666666667,0.25,0
Dom,2025-02-09,18:00:00,Cienciano,2–2,Adt Tarma,Empate,Estadio Inca Garcilaso de la Vega,Joel Alarcón,0.3333333333333333,0.5,0
Sáb,2025-02-08,19:00:00,Alianza Lima,3–0,Cusco,Ganó Local,Estadio Alejandro Villanueva,Daniel Ureta,0.5,0.0,1
Lun,2025-02-10,15:00:00,Cdc Santa Rosa,2–2,Deportivo Garcilaso,Empate,Estadio El Prado,Jesús Cartagena,0.3333333333333333,0.5,0
Vie,2025-02-14,11:00:00,Utc,0–4,Binacional,Ganó Visita,Estadio Municipal Germán Contreras Jara,Pablo López,0.0,1.0,2
Vie,2025-02-14,17:30:00,Cusco,0–1,Melgar,Ganó Visita,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,0.0,0.25,2
Sáb,2025-02-15,13:00:00,Adt Tarma,4–3,Atlético Grau,Ganó Local,Estadio Municipal Unión de Tarma,Victor Cori,0.6666666666666666,0.75,1
Sáb,2025-02-15,15:30:00,Alianza Atlético,3–1,Alianza Lima,Ganó Local,Estadio Mansiche,Kevin Ortega,0.5,0.25,1
Dom,2025-02-16,11:00:00,Sporting Cristal,2–1,Sport Boys,Ganó Local,Estadio Alberto Gallardo,Daniel Ureta,0.3333333333333333,0.25,1
Dom,2025-02-16,13:15:00,Juan Pablo Ii,0–1,Sport Huancayo,Ganó Visita,Estadio Mansiche,Micke Palomino,0.0,0.25,2
Dom,2025-02-16,15:30:00,Deportivo Garcilaso,2–1,Comerciantes Unidos,Ganó Local,Estadio Inca Garcilaso de la Vega,César Garcia,0.3333333333333333,0.25,1
Sáb,2025-02-15,19:30:00,Universitario,3–2,Cienciano,Ganó Local,Estadio Monumental U Marathon,Roberto Pérez,0.5,0.5,1
Lun,2025-02-17,15:00:00,Ayacucho,3–2,Alianza Univ,Ganó Local,Estadio Manuel Eloy Molina Robles,Robin Segura Tuanama,0.5,0.5,1
Sáb,2025-02-22,13:00:00,Comerciantes Unidos,1–1,Cdc Santa Rosa,Empate,Estadio Municipal Germán Contreras Jara,Jordy Espinoza,0.1666666666666667,0.25,0
Sáb,2025-02-22,15:00:00,Sport Boys,2–1,Ayacucho,Ganó Local,Estadio Miguel Grau del Callao,Jonathan Zamora,0.3333333333333333,0.25,1
